rounds,key_mode,key_hex,num_keys,seed_hex,fixed_input_difference_hex,fixed_input_difference_weight,rank,output_mask_hex,metric_name,metric_pow2,abs_metric_pow2
11,random_keys,,5,0x0000000000001234,0x40000000,1,2,0x6ef8d6bd,rms,2^(-13.7986),2^(-13.7986)
11,random_keys,,5,0x0000000000001234,0x40000000,1,3,0x1492705a,rms,2^(-13.8163),2^(-13.8163)
11,random_keys,,5,0x0000000000001234,0x40000000,1,4,0x07256b81,rms,2^(-13.8235),2^(-13.8235)
11,random_keys,,5,0x0000000000001234,0x40000000,1,5,0x0b713e3c,rms,2^(-13.8356),2^(-13.8356)
11,random_keys,,5,0x0000000000001234,0x80000000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x80000000,1,2,0xa6dce457,rms,2^(-13.7179),2^(-13.7179)
11,random_keys,,5,0x0000000000001234,0x80000000,1,3,0x61bfba62,rms,2^(-13.7962),2^(-13.7962)
11,random_keys,,5,0x0000000000001234,0x80000000,1,4,0xd28554a8,rms,2^(-13.8284),2^(-13.8284)
11,random_keys,,5,0x0000000000001234,0x80000000,1,5,0x281b26e8,rms,2^(-13.8286),2^(-13.8286)
11,random_keys,,5,0x0000000000001234,0x00000003,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000003,2,2,0x2d38cec4,rms,2^(-13.7599),2^(-13.7599)
11,random_keys,,5,0x0000000000001234,0x00000003,2,3,0xa408c972,rms,2^(-13.7726),2^(-13.7726)
11,random_keys,,5,0x0000000000001234,0x00000003,2,4,0x14177a7f,rms,2^(-13.8199),2^(-13.8199)
11,random_keys,,5,0x0000000000001234,0x00000003,2,5,0x1f19c7ac,rms,2^(-13.8274),2^(-13.8274)
11,random_keys,,5,0x0000000000001234,0x00000005,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000005,2,2,0x5a6563ba,rms,2^(-13.7708),2^(-13.7708)
11,random_keys,,5,0x0000000000001234,0x00000005,2,3,0x4946a073,rms,2^(-13.8039),2^(-13.8039)
11,random_keys,,5,0x0000000000001234,0x00000005,2,4,0x85e515f4,rms,2^(-13.8199),2^(-13.8199)
11,random_keys,,5,0x0000000000001234,0x00000005,2,5,0xf54aa9c2,rms,2^(-13.8240),2^(-13.8240)
11,random_keys,,5,0x0000000000001234,0x00000009,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000009,2,2,0x6d46f66f,rms,2^(-13.7615),2^(-13.7615)
11,random_keys,,5,0x0000000000001234,0x00000009,2,3,0x8bc2d690,rms,2^(-13.8076),2^(-13.8076)
11,random_keys,,5,0x0000000000001234,0x00000009,2,4,0x561947dd,rms,2^(-13.8208),2^(-13.8208)
11,random_keys,,5,0x0000000000001234,0x00000009,2,5,0x9a743c19,rms,2^(-13.8357),2^(-13.8357)
11,random_keys,,5,0x0000000000001234,0x00000011,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000011,2,2,0x68bdd18c,rms,2^(-13.7838),2^(-13.7838)
11,random_keys,,5,0x0000000000001234,0x00000011,2,3,0xdd2c4c3e,rms,2^(-13.7919),2^(-13.7919)
11,random_keys,,5,0x0000000000001234,0x00000011,2,4,0x41e39ee5,rms,2^(-13.8000),2^(-13.8000)
11,random_keys,,5,0x0000000000001234,0x00000011,2,5,0xf91f8506,rms,2^(-13.8072),2^(-13.8072)
11,random_keys,,5,0x0000000000001234,0x00000021,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000021,2,2,0x402d87b0,rms,2^(-13.7922),2^(-13.7922)
11,random_keys,,5,0x0000000000001234,0x00000021,2,3,0x411770e0,rms,2^(-13.8185),2^(-13.8185)
11,random_keys,,5,0x0000000000001234,0x00000021,2,4,0x29a32854,rms,2^(-13.8260),2^(-13.8260)
11,random_keys,,5,0x0000000000001234,0x00000021,2,5,0x289e7435,rms,2^(-13.8266),2^(-13.8266)
11,random_keys,,5,0x0000000000001234,0x00000041,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000041,2,2,0x1a1cdac3,rms,2^(-13.7497),2^(-13.7497)
11,random_keys,,5,0x0000000000001234,0x00000041,2,3,0x6e978b6d,rms,2^(-13.7737),2^(-13.7737)
11,random_keys,,5,0x0000000000001234,0x00000041,2,4,0xe9114731,rms,2^(-13.7843),2^(-13.7843)
11,random_keys,,5,0x0000000000001234,0x00000041,2,5,0xeacb60ef,rms,2^(-13.7984),2^(-13.7984)
11,random_keys,,5,0x0000000000001234,0x00000081,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000081,2,2,0xcccbde4f,rms,2^(-13.7293),2^(-13.7293)
11,random_keys,,5,0x0000000000001234,0x00000081,2,3,0x1dfeb688,rms,2^(-13.7802),2^(-13.7802)
11,random_keys,,5,0x0000000000001234,0x00000081,2,4,0x28d63a7c,rms,2^(-13.7878),2^(-13.7878)
11,random_keys,,5,0x0000000000001234,0x00000081,2,5,0x1ff85ed9,rms,2^(-13.8288),2^(-13.8288)
11,random_keys,,5,0x0000000000001234,0x00000101,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000101,2,2,0xbe9140c0,rms,2^(-13.8174),2^(-13.8174)
11,random_keys,,5,0x0000000000001234,0x00000101,2,3,0x1d372696,rms,2^(-13.8238),2^(-13.8238)
11,random_keys,,5,0x0000000000001234,0x00000101,2,4,0x2460ad15,rms,2^(-13.8340),2^(-13.8340)
11,random_keys,,5,0x0000000000001234,0x00000101,2,5,0x20daed04,rms,2^(-13.8376),2^(-13.8376)
11,random_keys,,5,0x0000000000001234,0x00000201,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000201,2,2,0x38e39f20,rms,2^(-13.7915),2^(-13.7915)
11,random_keys,,5,0x0000000000001234,0x00000201,2,3,0xf3ae5996,rms,2^(-13.7920),2^(-13.7920)
11,random_keys,,5,0x0000000000001234,0x00000201,2,4,0x86f6d2b5,rms,2^(-13.8017),2^(-13.8017)
11,random_keys,,5,0x0000000000001234,0x00000201,2,5,0x5840f4da,rms,2^(-13.8108),2^(-13.8108)
11,random_keys,,5,0x0000000000001234,0x00000401,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000401,2,2,0x9e86a017,rms,2^(-13.7962),2^(-13.7962)
11,random_keys,,5,0x0000000000001234,0x00000401,2,3,0x68a1e912,rms,2^(-13.7971),2^(-13.7971)
11,random_keys,,5,0x0000000000001234,0x00000401,2,4,0x0328bb1d,rms,2^(-13.8120),2^(-13.8120)
11,random_keys,,5,0x0000000000001234,0x00000401,2,5,0x1f24bd5a,rms,2^(-13.8344),2^(-13.8344)
11,random_keys,,5,0x0000000000001234,0x00000801,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000801,2,2,0xb5d355a8,rms,2^(-13.7882),2^(-13.7882)
11,random_keys,,5,0x0000000000001234,0x00000801,2,3,0x21115d8e,rms,2^(-13.8068),2^(-13.8068)
11,random_keys,,5,0x0000000000001234,0x00000801,2,4,0x72fff500,rms,2^(-13.8106),2^(-13.8106)
11,random_keys,,5,0x0000000000001234,0x00000801,2,5,0xe847d320,rms,2^(-13.8230),2^(-13.8230)
11,random_keys,,5,0x0000000000001234,0x00001001,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00001001,2,2,0x3316e2c1,rms,2^(-13.8256),2^(-13.8256)
11,random_keys,,5,0x0000000000001234,0x00001001,2,3,0x563a9187,rms,2^(-13.8294),2^(-13.8294)
11,random_keys,,5,0x0000000000001234,0x00001001,2,4,0x37f02e20,rms,2^(-13.8364),2^(-13.8364)
11,random_keys,,5,0x0000000000001234,0x00001001,2,5,0x83df9c82,rms,2^(-13.8487),2^(-13.8487)
11,random_keys,,5,0x0000000000001234,0x00002001,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00002001,2,2,0xffd9062a,rms,2^(-13.7689),2^(-13.7689)
11,random_keys,,5,0x0000000000001234,0x00002001,2,3,0xf5f55af3,rms,2^(-13.7848),2^(-13.7848)
11,random_keys,,5,0x0000000000001234,0x00002001,2,4,0x4c7517c0,rms,2^(-13.7976),2^(-13.7976)
11,random_keys,,5,0x0000000000001234,0x00002001,2,5,0x660b48f3,rms,2^(-13.8011),2^(-13.8011)
11,random_keys,,5,0x0000000000001234,0x00004001,2,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00004001,2,2,0xe2d720da,rms,2^(-13.6760),2^(-13.6760)
11,random_keys,,5,0x0000000000001234,0x00004001,2,3,0x1e84af0f,rms,2^(-13.7928),2^(-13.7928)
11,random_keys,,5,0x0000000000001234,0x00004001,2,4,0xe40ab0d5,rms,2^(-13.8045),2^(-13.8045)
11,random_keys,,5,0x0000000000001234,0x00004001,2,5,0xad146541,rms,2^(-13.8234),2^(-13.8234)
